compania;nombre_tarifa;tipo_tarifa;potencia_contratada;precio_€/kWh;precio_llano;precio_punta;precio_valle;permanencia;;;;;;;;;;;;;;;;;
Repsol;Ahorro Plus;fija;3.95;0.119746;0.068219;0.068219;0.068219;No;;;;;;;;;;;;;;;;;
Repsol;Plana de Luz;fija;≤15;;;;;Sí;;;;;;;;;;;;;;;;;
Repsol;Mis 10h con Descuento;fija;≤15;0.068219;0.068219;0.068219;0.068219;Sí;;;;;;;;;;;;;;;;;
Repsol;2ª Residencia;fija;≤15;0.054521;0.054521;0.054521;0.054521;Sí;;;;;;;;;;;;;;;;;
Repsol;Mis 3 Horas Gratis;fija;≤15;0.068219;0.068219;0.068219;0.068219;Sí;;;;;;;;;;;;;;;;;
Repsol;Domingos Gratis;fija;≤15;0.068219;0.068219;0.068219;0.068219;Sí;;;;;;;;;;;;;;;;;
Repsol;Descuento Mañana y Tarde;fija;≤15;0.068219;0.068219;0.068219;0.068219;Sí;;;;;;;;;;;;;;;;;
Repsol;Descuento Día;fija;≤15;0.068219;0.068219;0.068219;0.068219;Sí;;;;;;;;;;;;;;;;;
Repsol;Discriminación Horaria;variable;4.47;0.119583;0.13863;0.188553;0.119583;Sí;;;;;;;;;;;;;;;;;
Repsol;Teletrabajo;variable;≤15;0.068219;0.068219;0.068219;0.068219;Sí;;;;;;;;;;;;;;;;;
TotalEnergies;A Tu Aire Luz Siempre;fija;≤15;0.104995;0.104995;0.104995;0.104995;No;;;;;;;;;;;;;;;;;
TotalEnergies;Plan Ahora;fija;≤15;0.03;0.03;0.03;0.03;No;;;;;;;;;;;;;;;;;
TotalEnergies;Programa Tu Ahorro;variable;≤15;0.084089;0.101222;0.144162;0.084089;No;;;;;;;;;;;;;;;;;
HolaLuz;La Tarifa Justa;fija;≤15;;;;;No;;;;;;;;;;;;;;;;;
HolaLuz;La Tarifa Clasica;fija;≤10;0.139;0.139;0.139;0.139;No;;;;;;;;;;;;;;;;;
HolaLuz;La Tarifa 3;variable;≤10;0.105;0.154;0.199;0.105;No;;;;;;;;;;;;;;;;;
HolaLuz;Tarifa Mercado;fija;≤10;0.122;0.122;0.122;0.122;;;;;;;;;;;;;;;;;;
edp;Plan Solar Duo;variable;≤10;0.07;0.183;0.183;0.105;Sí;;;;;;;;;;;;;;;;;
edp;Plan Solar Duo;variable;Entre 10 y 15;0.07;0.157;0.157;0.105;Sí;;;;;;;;;;;;;;;;;
edp;Plan Ahorro Solar;variable;≤10;0.08;0.145;0.183;0.125;Sí;;;;;;;;;;;;;;;;;
edp;Plan Ahorro Solar;variable;Entre 10 y 15;0.08;0.131;0.181;0.105;Sí;;;;;;;;;;;;;;;;;
edp;Plan Tranquilidad;fija;≤10;0.07;0.07;0.07;0.07;Sí;;;;;;;;;;;;;;;;;
edp;Plan Tranquilidad;fija;Entre 10 y 15;0.07;0.07;0.07;0.07;Sí;;;;;;;;;;;;;;;;;
